Date,Open,High,Low,Close,Volume
11/27/2002,"92.52","94.65","92.43","94.28","37,764,398"
11/26/2002,"93.07","93.45","91.62","91.70","42,289,699"
11/25/2002,"93.43","94.26","92.77","93.48","34,058,602"
11/22/2002,"93.48","94.27","93.27","93.42","32,513,900"
11/21/2002,"92.60","94.19","92.43","94.09","55,162,398"
11/20/2002,"89.98","92.42","89.95","92.37","36,811,602"
11/19/2002,"90.02","91.10","89.76","90.36","32,808,102"
11/18/2002,"92.15","92.15","90.35","90.48","28,945,900"
11/15/2002,"90.00","91.55","89.95","91.40","39,166,199"
11/14/2002,"90.07","91.00","89.76","90.73","31,938,699"
11/13/2002,"88.32","89.75","87.45","89.05","63,905,000"
11/12/2002,"88.66","89.93","88.37","88.96","37,769,398"
11/11/2002,"89.52","89.56","87.80","88.26","33,580,801"
11/08/2002,"90.53","91.57","89.52","89.65","37,911,102"
11/07/2002,"92.03","92.22","90.22","90.76","51,574,102"
11/06/2002,"92.48","93.07","90.79","93.04","65,270,000"
11/05/2002,"90.84","92.07","90.84","91.85","37,282,199"
11/04/2002,"91.80","92.94","90.90","91.13","49,081,801"
11/01/2002,"88.35","90.82","88.05","90.27","51,889,500"
10/31/2002,"89.66","90.30","88.19","88.52","41,621,102"
10/30/2002,"88.68","89.96","88.23","89.43","41,703,000"
10/29/2002,"89.08","89.49","87.00","88.57","59,529,801"
10/28/2002,"91.15","91.29","88.85","89.61","39,427,000"
10/25/2002,"88.22","90.39","87.94","90.20","43,724,500"
10/24/2002,"90.75","90.90","88.10","88.36","55,149,801"
10/23/2002,"88.77","90.27","87.68","90.20","55,112,500"
10/22/2002,"89.05","90.01","88.52","89.52","41,214,699"
10/21/2002,"88.12","90.50","87.57","90.17","45,970,699"
10/18/2002,"87.65","89.11","86.93","88.64","47,559,102"
10/17/2002,"88.87","89.30","87.85","88.27","68,584,398"
10/16/2002,"87.42","87.80","85.92","86.55","63,526,898"
10/15/2002,"86.99","88.72","86.86","88.70","82,538,305"
10/14/2002,"83.20","84.85","83.04","84.63","40,638,398"
10/11/2002,"82.10","84.73","81.82","84.16","82,321,703"
10/10/2002,"77.94","81.07","77.07","80.63","76,752,102"
10/09/2002,"79.09","79.70","77.78","78.10","79,893,906"
10/08/2002,"79.81","81.31","78.20","80.37","79,531,602"
10/07/2002,"80.07","81.20","78.55","79.13","53,211,102"
10/04/2002,"82.80","82.92","79.58","80.80","68,628,398"
10/03/2002,"83.14","84.60","81.95","82.31","55,548,898"
