Date,Open,High,Low,Close,Volume
11/28/2014,"207.49","207.87","206.91","207.20","57,890,090"
11/26/2014,"207.29","207.76","207.03","207.64","62,167,832"
11/25/2014,"207.54","207.79","206.80","207.11","79,108,305"
11/24/2014,"207.17","207.39","206.91","207.26","65,880,758"
11/21/2014,"207.64","207.84","205.98","206.68","142,327,297"
11/20/2014,"204.26","205.71","204.18","205.58","72,840,328"
11/19/2014,"205.31","205.55","204.30","205.22","82,373,008"
11/18/2014,"204.44","205.92","204.44","205.55","76,068,109"
11/17/2014,"203.85","204.58","203.65","204.37","80,440,953"
11/14/2014,"204.10","204.49","203.72","204.24","80,417,516"
11/13/2014,"204.16","204.83","203.21","204.19","85,357,922"
11/12/2014,"203.35","204.24","203.31","203.96","90,120,305"
11/11/2014,"204.06","204.31","203.65","204.18","54,499,379"
11/10/2014,"203.38","204.04","203.13","203.98","66,318,961"
11/07/2014,"203.17","203.60","202.61","203.34","89,539,711"
11/06/2014,"202.39","203.26","201.64","203.15","107,089,102"
11/05/2014,"202.54","202.59","201.45","202.34","91,708,570"
11/04/2014,"201.23","201.60","200.06","201.07","93,342,781"
11/03/2014,"201.92","202.45","201.31","201.77","93,734,141"
10/31/2014,"201.78","201.82","200.77","201.66","146,902,594"
10/30/2014,"197.58","199.95","197.40","199.38","113,330,000"
10/29/2014,"198.55","199.12","196.80","198.11","142,557,406"
10/28/2014,"196.82","198.42","196.73","198.41","106,735,906"
10/27/2014,"195.73","196.45","195.03","196.16","82,953,688"
10/24/2014,"195.25","196.49","194.49","196.43","117,927,297"
10/23/2014,"194.62","196.20","194.26","194.93","154,944,188"
10/22/2014,"194.41","194.91","192.61","192.69","151,822,406"
10/21/2014,"191.68","194.20","191.48","194.07","154,948,609"
10/20/2014,"188.13","190.45","188.07","190.30","130,010,797"
10/17/2014,"188.42","189.75","187.62","188.47","214,624,891"
10/16/2014,"183.06","187.58","182.89","186.27","270,391,500"
10/15/2014,"185.16","187.69","181.92","186.43","380,714,594"
10/14/2014,"188.42","189.82","187.04","187.70","215,846,500"
10/13/2014,"190.46","191.15","187.30","187.41","230,938,797"
10/10/2014,"192.69","193.65","190.49","190.54","221,908,984"
10/09/2014,"196.33","196.60","192.58","192.74","210,704,609"
10/08/2014,"193.37","196.92","192.36","196.64","186,461,500"
10/07/2014,"195.28","195.72","193.22","193.26","147,913,500"
10/06/2014,"197.34","197.60","195.58","196.29","104,778,305"
10/03/2014,"195.68","196.94","195.08","196.52","121,568,797"
10/02/2014,"194.18","195.06","192.35","194.38","157,285,203"
10/01/2014,"196.70","196.77","193.91","194.35","177,797,906"
09/30/2014,"197.69","198.30","196.61","197.02","131,302,094"
09/29/2014,"196.20","197.89","196.05","197.54","95,111,609"
09/26/2014,"196.70","198.39","196.42","197.90","103,546,703"
09/25/2014,"199.04","199.05","196.27","196.34","150,300,000"
09/24/2014,"198.04","199.69","197.52","199.56","107,275,602"
09/23/2014,"198.43","199.26","197.95","198.01","111,393,297"
09/22/2014,"200.35","200.38","198.73","199.15","125,552,797"
09/19/2014,"201.52","201.90","200.29","200.70","121,649,102"
09/18/2014,"201.36","201.85","201.10","201.82","94,990,305"
09/17/2014,"200.77","201.68","199.75","200.75","151,265,906"
09/16/2014,"198.61","200.84","198.50","200.48","116,200,703"
09/15/2014,"199.16","199.32","198.38","198.98","76,401,422"
09/12/2014,"200.10","200.12","198.56","199.13","117,478,492"
09/11/2014,"199.27","200.33","199.12","200.30","66,823,562"
09/10/2014,"199.43","200.20","198.77","200.07","67,251,102"
09/09/2014,"200.41","200.55","198.91","199.32","88,590,883"
09/08/2014,"200.92","201.21","200.00","200.59","64,145,754"
09/05/2014,"200.17","201.19","199.41","201.11","102,176,797"
09/04/2014,"200.84","201.58","199.66","200.21","85,236,438"
09/03/2014,"201.38","201.41","200.22","200.50","57,461,738"
09/02/2014,"200.97","201.00","199.86","200.61","72,425,789"
