Date,Open,High,Low,Close,Volume
11/26/2021,"462.34","463.90","457.77","458.97","112,669,602"
11/24/2021,"466.06","469.57","465.19","469.44","61,858,809"
11/23/2021,"467.22","469.10","464.45","468.19","73,206,547"
11/22/2021,"470.89","473.54","467.35","467.57","72,761,953"
11/19/2021,"469.61","470.94","468.50","468.89","57,315,566"
11/18/2021,"469.24","470.01","466.34","469.73","50,625,609"
11/17/2021,"469.00","469.19","467.48","468.14","47,858,289"
11/16/2021,"467.15","470.49","467.07","469.28","48,857,500"
11/15/2021,"468.64","468.81","466.23","467.43","46,980,500"
11/12/2021,"465.12","467.86","464.11","467.27","53,466,648"
11/11/2021,"465.21","465.29","463.75","463.77","34,848,500"
11/10/2021,"465.58","467.38","462.04","463.62","69,429,648"
11/09/2021,"469.32","469.57","465.88","467.38","51,149,152"
11/08/2021,"469.70","470.23","468.20","468.93","50,405,191"
11/05/2021,"469.28","470.65","466.92","468.53","66,390,562"
11/04/2021,"465.36","467.00","464.99","466.91","52,847,090"
11/03/2021,"461.30","465.15","460.83","464.72","52,509,832"
11/02/2021,"460.22","462.23","460.08","461.90","48,908,422"
11/01/2021,"460.30","460.70","458.20","460.04","48,433,641"
10/29/2021,"455.87","459.56","455.56","459.25","70,162,414"
10/28/2021,"455.46","458.40","455.45","458.32","51,437,941"
10/27/2021,"456.45","457.16","453.86","453.94","72,438,000"
10/26/2021,"457.20","458.49","455.56","455.96","56,075,121"
10/25/2021,"454.28","455.90","452.39","455.55","45,214,512"
10/22/2021,"453.13","454.67","451.05","453.12","58,845,090"
10/21/2021,"451.77","453.83","451.31","453.59","41,305,441"
10/20/2021,"451.13","452.73","451.01","452.41","49,571,566"
10/19/2021,"448.92","450.71","448.27","450.64","46,996,832"
10/18/2021,"443.97","447.55","443.27","447.19","62,213,230"
10/15/2021,"444.75","446.26","444.09","445.87","66,260,211"
10/14/2021,"439.08","442.66","438.58","442.50","70,236,828"
10/13/2021,"434.71","436.05","431.54","435.18","72,973,984"
10/12/2021,"435.67","436.10","432.78","433.62","71,181,156"
10/11/2021,"437.16","440.26","434.62","434.69","65,233,289"
10/08/2021,"439.48","439.89","437.19","437.86","74,557,398"
10/07/2021,"438.39","441.68","438.20","438.66","72,437,508"
10/06/2021,"429.27","435.12","427.54","434.90","113,032,203"
10/05/2021,"430.24","435.49","429.39","433.10","90,682,523"
10/04/2021,"433.00","433.96","426.36","428.64","128,570,000"
10/01/2021,"430.98","436.03","427.23","434.24","129,240,094"
09/30/2021,"436.02","436.77","428.78","429.14","140,506,000"
09/29/2021,"435.19","437.04","433.85","434.45","82,329,211"
09/28/2021,"439.69","440.04","432.94","433.72","130,436,305"
09/27/2021,"442.81","444.05","441.90","442.64","61,371,113"
09/24/2021,"441.44","444.67","441.21","443.91","62,094,840"
09/23/2021,"439.85","444.89","439.60","443.18","76,395,984"
09/22/2021,"436.05","440.03","433.75","437.86","102,350,094"
09/21/2021,"436.53","437.91","433.07","433.63","92,526,109"
09/20/2021,"434.88","436.56","428.86","434.04","166,445,500"
09/17/2021,"444.92","445.37","441.02","441.40","118,425,000"
09/16/2021,"447.32","448.36","444.02","447.17","77,786,734"
09/15/2021,"444.62","448.41","443.44","447.88","78,792,227"
09/14/2021,"448.12","448.34","443.22","444.17","78,197,133"
09/13/2021,"448.64","448.92","444.11","446.58","83,738,648"
09/10/2021,"451.04","451.49","445.31","445.44","89,948,172"
09/09/2021,"450.70","452.57","448.72","448.98","57,970,406"
09/08/2021,"450.89","451.67","448.86","450.91","56,181,910"
09/07/2021,"452.71","452.81","450.74","451.46","51,671,527"
09/03/2021,"451.98","453.63","451.55","453.08","47,234,359"
09/02/2021,"453.32","454.05","451.91","453.19","42,830,871"
09/01/2021,"452.56","453.11","451.55","451.80","48,721,379"
08/31/2021,"452.13","452.49","450.92","451.56","59,300,207"
08/30/2021,"450.97","453.07","450.71","452.23","48,357,359"
08/27/2021,"447.12","450.65","447.06","450.25","77,235,109"
08/26/2021,"448.61","448.86","446.16","446.26","57,829,566"
08/25/2021,"448.17","449.46","447.77","448.91","40,529,711"
08/24/2021,"447.97","448.54","447.42","447.97","38,744,711"
08/23/2021,"445.16","448.23","443.44","447.26","54,973,039"
08/20/2021,"440.23","443.71","439.71","443.36","72,008,711"
08/19/2021,"436.27","441.14","436.12","439.86","92,812,250"
08/18/2021,"442.96","444.63","438.92","439.18","89,351,930"
08/17/2021,"444.24","444.96","440.85","444.04","92,673,930"
08/16/2021,"444.53","447.11","442.87","446.97","73,930,867"
08/13/2021,"445.59","445.94","445.07","445.92","39,470,246"
08/12/2021,"443.62","445.26","442.66","445.11","38,942,422"
08/11/2021,"443.82","443.88","442.62","443.78","44,034,340"
08/10/2021,"442.61","443.44","441.88","442.68","43,339,281"
08/09/2021,"442.46","442.80","441.31","442.13","41,222,594"
08/06/2021,"442.10","442.94","441.80","442.49","46,930,008"
08/05/2021,"440.22","441.85","439.88","441.76","38,969,660"
08/04/2021,"439.78","441.12","438.73","438.98","46,732,207"
08/03/2021,"438.44","441.28","436.10","441.15","58,053,898"
08/02/2021,"440.34","440.93","437.21","437.59","58,783,301"
07/30/2021,"437.91","440.06","437.77","438.51","68,951,203"
07/29/2021,"439.82","441.80","439.81","440.65","47,435,340"
07/28/2021,"439.68","440.30","437.31","438.83","52,472,359"
07/27/2021,"439.91","439.94","435.99","439.01","67,397,133"
07/26/2021,"439.31","441.03","439.26","441.02","43,719,191"
07/23/2021,"437.52","440.30","436.79","439.94","63,766,641"
07/22/2021,"434.74","435.72","433.69","435.46","47,878,539"
07/21/2021,"432.34","434.70","431.01","434.55","64,724,391"
07/20/2021,"425.68","432.42","424.83","431.06","99,608,172"
07/19/2021,"426.19","431.41","421.97","424.97","147,987,016"
07/16/2021,"436.01","436.06","430.92","431.34","75,874,656"
07/15/2021,"434.81","435.53","432.72","434.75","55,126,359"
07/14/2021,"437.40","437.92","434.91","436.24","64,130,352"
07/13/2021,"436.24","437.84","435.31","435.59","52,911,312"
07/12/2021,"435.43","437.35","434.97","437.08","52,889,594"
07/09/2021,"432.53","435.84","430.71","435.52","76,238,578"
07/08/2021,"428.78","431.73","427.52","430.92","97,595,234"
07/07/2021,"433.66","434.76","431.51","434.46","63,549,461"
07/06/2021,"433.78","434.01","430.01","432.93","68,710,414"
07/02/2021,"431.67","434.10","430.52","433.72","57,697,672"
07/01/2021,"428.87","430.60","428.80","430.43","53,441,031"
06/30/2021,"427.21","428.78","427.18","428.06","64,827,859"
06/29/2021,"427.88","428.56","427.13","427.70","35,970,520"
