Date,Open,High,Low,Close,Volume
11/28/2016,"221.16","221.48","220.36","220.48","76,572,516"
11/25/2016,"221.10","221.56","221.01","221.52","37,872,262"
11/23/2016,"219.98","220.76","219.75","220.70","56,620,238"
11/22/2016,"220.51","220.79","219.73","220.58","67,428,961"
11/21/2016,"219.17","220.18","219.00","220.15","72,402,641"
11/18/2016,"219.07","219.27","218.29","218.50","86,265,750"
11/17/2016,"218.05","219.06","217.92","218.99","69,797,195"
11/16/2016,"217.56","218.14","217.42","217.87","65,617,703"
11/15/2016,"217.04","218.28","216.80","218.28","91,652,578"
11/14/2016,"217.03","217.27","215.72","216.59","94,579,984"
11/11/2016,"216.08","216.70","215.32","216.42","100,552,703"
11/10/2016,"217.30","218.31","215.22","216.92","172,113,297"
11/09/2016,"212.37","217.10","212.34","216.38","258,428,984"
11/08/2016,"212.69","214.77","212.38","214.11","106,772,094"
11/07/2016,"211.45","213.19","211.30","213.15","109,794,898"
11/04/2016,"208.91","209.89","208.38","208.55","109,122,094"
11/03/2016,"209.99","210.24","208.46","208.78","88,939,352"
11/02/2016,"210.65","211.10","209.23","209.74","103,330,797"
11/01/2016,"212.93","212.99","209.60","211.01","122,781,797"
10/31/2016,"212.93","213.19","212.36","212.55","61,272,512"
10/28/2016,"213.14","213.93","211.71","212.54","140,623,203"
10/27/2016,"214.58","214.62","213.08","213.17","77,220,211"
10/26/2016,"213.21","214.42","212.93","213.74","75,705,477"
10/25/2016,"214.68","214.98","213.98","214.17","66,542,328"
10/24/2016,"215.00","215.32","214.48","214.89","60,146,594"
10/21/2016,"212.96","214.08","212.76","213.98","89,089,086"
10/20/2016,"213.87","214.53","213.11","213.88","73,639,828"
10/19/2016,"214.02","214.64","213.60","214.28","66,519,219"
10/18/2016,"214.24","214.31","213.27","213.71","76,869,664"
10/17/2016,"213.09","213.39","212.17","212.38","58,275,672"
10/14/2016,"214.15","214.69","213.03","213.12","93,346,242"
10/13/2016,"212.16","213.59","211.21","213.01","101,357,000"
10/12/2016,"213.59","214.32","213.01","213.71","73,866,117"
10/11/2016,"215.66","215.74","212.58","213.43","130,367,398"
10/10/2016,"216.16","216.70","215.99","216.16","51,855,020"
10/07/2016,"216.10","216.30","214.19","215.04","89,788,258"
10/06/2016,"215.37","216.04","214.74","215.78","62,928,352"
10/05/2016,"215.41","216.13","215.33","215.63","72,815,961"
10/04/2016,"215.91","216.17","213.99","214.68","119,948,094"
10/03/2016,"215.82","216.04","215.04","215.78","83,512,062"
09/30/2016,"215.65","217.12","215.36","216.30","117,202,898"
09/29/2016,"216.40","216.87","214.04","214.68","128,070,602"
09/28/2016,"215.83","216.82","214.71","216.64","87,411,023"
09/27/2016,"214.05","215.68","213.62","215.57","78,494,828"
09/26/2016,"215.02","215.23","214.01","214.24","89,827,312"
09/23/2016,"216.72","216.88","215.88","215.99","73,630,922"
09/22/2016,"217.00","217.53","216.71","217.18","76,678,711"
09/21/2016,"214.24","216.03","213.44","215.82","110,284,398"
09/20/2016,"214.41","214.59","213.38","213.42","69,665,281"
09/19/2016,"214.13","214.88","213.03","213.41","80,250,484"
09/16/2016,"213.48","213.69","212.57","213.37","155,236,406"
09/15/2016,"212.96","215.73","212.75","215.28","145,736,094"
09/14/2016,"213.29","214.70","212.50","213.15","134,185,500"
09/13/2016,"214.84","215.15","212.50","213.23","182,828,797"
09/12/2016,"212.39","216.81","212.31","216.34","168,110,891"
09/09/2016,"216.97","217.03","213.25","213.28","221,589,109"
09/08/2016,"218.62","218.94","218.15","218.51","74,102,883"
09/07/2016,"218.84","219.22","218.30","219.01","76,554,867"
09/06/2016,"218.70","219.12","217.86","219.03","56,702,090"
09/02/2016,"218.39","218.87","217.70","218.37","79,293,859"
09/01/2016,"217.37","217.73","216.03","217.39","97,844,211"
08/31/2016,"217.61","217.75","216.47","217.38","85,269,445"
08/30/2016,"218.26","218.59","217.35","218.00","58,114,539"
08/29/2016,"217.44","218.67","217.40","218.36","70,502,172"
08/26/2016,"217.92","219.12","216.25","217.29","122,506,305"
08/25/2016,"217.40","218.19","217.22","217.70","69,224,781"
08/24/2016,"218.80","218.91","217.36","217.85","71,728,953"
08/23/2016,"219.25","219.60","218.90","218.97","53,399,160"
08/22/2016,"218.26","218.80","217.83","218.53","61,368,770"
08/19/2016,"218.31","218.75","217.74","218.54","75,443,000"
08/18/2016,"218.34","218.90","218.21","218.86","52,989,273"
08/17/2016,"218.00","218.53","217.02","218.37","75,134,336"
08/16/2016,"218.60","218.68","217.96","217.96","53,213,621"
08/15/2016,"218.89","219.50","218.88","219.09","49,813,480"
08/12/2016,"218.29","218.71","217.99","218.46","61,313,539"
08/11/2016,"218.26","218.94","217.95","218.65","72,504,273"
08/10/2016,"218.31","218.40","217.23","217.64","57,941,090"
08/09/2016,"218.13","218.76","217.80","218.18","51,251,727"
08/08/2016,"218.40","218.52","217.74","218.05","39,906,480"
08/05/2016,"217.21","218.23","217.07","218.18","71,892,156"
08/04/2016,"216.31","216.78","214.25","216.41","46,585,527"
08/03/2016,"215.48","216.25","215.13","216.18","53,993,633"
08/02/2016,"216.65","216.83","214.57","215.55","92,295,516"
08/01/2016,"217.19","217.65","216.41","216.94","73,311,422"
07/29/2016,"216.46","217.54","216.13","217.12","79,519,438"
07/28/2016,"216.29","217.11","215.75","216.77","65,035,719"
07/27/2016,"217.19","217.27","215.62","216.52","84,083,891"
07/26/2016,"216.53","217.17","215.76","216.75","70,080,484"
07/25/2016,"217.00","217.06","215.97","216.65","55,873,152"
07/22/2016,"216.41","217.30","216.10","217.24","62,787,480"
07/21/2016,"216.96","217.22","215.75","216.27","67,777,312"
07/20/2016,"216.75","217.37","216.24","217.09","58,159,461"
07/19/2016,"215.92","216.23","215.63","216.19","54,345,727"
