Date,Open,High,Low,Close,Volume
11/28/2017,"260.76","262.90","260.66","262.87","98,971,719"
11/27/2017,"260.41","260.75","260.00","260.23","52,274,922"
11/24/2017,"260.32","260.48","260.16","260.36","27,856,510"
11/22/2017,"260.00","260.15","259.57","259.76","45,033,391"
11/21/2017,"259.18","260.20","258.26","259.99","69,176,797"
11/20/2017,"258.14","258.53","257.86","258.30","48,075,512"
11/17/2017,"258.22","258.59","257.77","257.86","75,756,828"
11/16/2017,"257.52","259.04","257.47","258.62","67,777,031"
11/15/2017,"256.62","257.22","255.63","256.44","80,811,531"
11/14/2017,"257.41","257.85","256.52","257.73","61,315,152"
11/13/2017,"257.31","258.59","257.27","258.33","50,228,648"
11/10/2017,"257.73","258.29","257.37","258.09","59,984,660"
11/09/2017,"257.73","258.39","256.36","258.17","95,085,508"
11/08/2017,"258.47","259.22","258.15","259.11","50,469,578"
11/07/2017,"258.97","259.35","258.09","258.67","57,502,160"
11/06/2017,"258.30","259.00","258.22","258.85","49,652,602"
11/03/2017,"257.77","258.50","257.30","258.45","59,589,727"
11/02/2017,"257.41","257.75","256.19","257.59","56,449,539"
11/01/2017,"258.04","258.43","257.07","257.49","54,202,738"
10/31/2017,"257.18","257.44","256.81","257.15","60,304,781"
10/30/2017,"257.07","257.60","256.41","256.75","54,285,688"
10/27/2017,"256.47","257.89","255.63","257.71","85,562,547"
10/26/2017,"255.99","256.30","255.48","255.62","69,797,969"
10/25/2017,"256.18","256.31","254.00","255.29","103,715,297"
10/24/2017,"256.60","256.83","256.15","256.56","66,935,914"
10/23/2017,"257.48","257.51","256.02","256.11","63,915,312"
10/20/2017,"256.70","257.14","255.77","257.11","89,176,383"
10/19/2017,"254.83","255.83","254.35","255.79","61,903,793"
10/18/2017,"255.90","255.95","255.50","255.72","40,888,328"
10/17/2017,"255.23","255.52","254.98","255.47","31,560,961"
10/16/2017,"255.21","255.51","254.82","255.29","38,221,680"
10/13/2017,"255.14","255.27","254.64","254.95","54,800,441"
10/12/2017,"254.66","255.06","254.37","254.64","47,065,141"
10/11/2017,"254.51","255.02","254.32","255.02","47,674,328"
10/10/2017,"254.60","255.05","253.98","254.62","43,057,359"
10/09/2017,"254.63","254.70","253.65","253.95","35,803,141"
10/06/2017,"254.15","254.70","253.85","254.37","80,646,000"
10/05/2017,"253.54","254.68","253.20","254.66","63,522,762"
10/04/2017,"252.69","253.44","252.56","253.16","55,953,621"
10/03/2017,"252.46","252.89","252.23","252.86","66,810,172"
10/02/2017,"251.49","252.32","251.29","252.32","59,022,992"
09/29/2017,"250.34","251.32","250.13","251.23","85,578,000"
09/28/2017,"249.73","250.44","249.63","250.35","44,778,840"
09/27/2017,"249.88","250.49","248.87","250.05","81,001,430"
09/26/2017,"249.42","249.70","248.81","249.08","54,081,961"
09/25/2017,"249.15","249.55","248.08","248.93","57,064,359"
09/22/2017,"249.05","249.63","249.02","249.44","51,214,031"
09/21/2017,"249.88","249.98","249.19","249.39","48,211,398"
09/20/2017,"250.07","250.19","248.92","250.06","59,574,078"
09/19/2017,"250.00","250.07","249.60","249.97","47,108,152"
09/18/2017,"249.61","250.12","249.28","249.72","46,235,238"
09/15/2017,"248.69","249.29","248.57","249.19","95,432,383"
09/14/2017,"249.80","250.32","249.60","250.09","95,446,352"
09/13/2017,"249.72","250.21","249.59","250.17","59,228,000"
09/12/2017,"249.63","250.09","249.42","250.05","56,896,031"
09/11/2017,"248.04","249.30","248.02","249.21","71,364,852"
09/08/2017,"246.54","247.11","246.30","246.58","63,832,832"
09/07/2017,"247.25","247.27","246.40","246.87","58,034,727"
09/06/2017,"246.84","247.28","246.23","246.90","57,916,871"
09/05/2017,"247.26","247.52","244.95","246.06","91,398,781"
09/01/2017,"247.92","248.33","247.67","247.84","62,006,992"
08/31/2017,"246.72","247.77","246.05","247.49","103,803,906"
08/30/2017,"244.83","246.32","244.62","246.01","62,030,809"
08/29/2017,"243.06","245.15","242.93","244.85","51,135,719"
08/28/2017,"245.17","245.20","244.09","244.57","40,565,609"
08/25/2017,"244.90","245.61","244.39","244.56","64,445,910"
08/24/2017,"245.00","245.18","243.75","243.99","50,741,672"
08/23/2017,"244.33","245.05","244.16","244.56","50,203,840"
08/22/2017,"243.57","245.62","243.55","245.44","63,140,102"
08/21/2017,"242.64","243.20","241.83","242.90","65,469,738"
08/18/2017,"242.90","244.19","242.20","242.71","136,748,000"
08/17/2017,"246.24","246.60","243.09","243.09","128,490,398"
08/16/2017,"247.11","247.57","246.45","246.94","56,715,539"
08/15/2017,"246.98","247.00","246.16","246.51","55,242,754"
