Date,Open,High,Low,Close,Volume
11/28/2006,"138.24","139.16","138.11","139.02","106,652,398"
11/27/2006,"140.28","140.35","138.38","138.42","84,542,906"
11/24/2006,"140.24","140.84","140.20","140.35","30,998,199"
11/22/2006,"140.75","141.16","140.50","140.92","45,505,301"
11/21/2006,"140.49","140.67","140.29","140.64","51,367,898"
11/20/2006,"140.30","140.74","139.94","140.50","69,173,102"
11/17/2006,"139.93","140.43","139.73","140.42","56,353,301"
11/16/2006,"140.44","140.68","139.49","140.38","76,726,102"
11/15/2006,"139.57","140.45","139.53","140.02","76,508,000"
11/14/2006,"138.97","139.74","138.12","139.62","96,702,602"
11/13/2006,"138.18","139.04","138.07","138.58","59,398,102"
11/10/2006,"138.14","138.34","137.72","138.24","48,991,500"
11/09/2006,"139.01","139.14","137.90","138.18","95,914,203"
11/08/2006,"138.00","139.05","136.86","138.91","87,515,203"
11/07/2006,"138.20","138.98","138.00","138.61","63,318,801"
11/06/2006,"136.96","138.28","136.95","138.08","63,298,699"
11/03/2006,"137.27","137.39","135.62","136.54","71,345,906"
11/02/2006,"136.51","137.01","136.36","136.78","60,692,699"
11/01/2006,"138.22","138.31","136.72","136.86","83,005,602"
10/31/2006,"138.07","138.26","137.25","137.79","71,274,102"
10/30/2006,"137.66","138.20","137.40","137.81","49,717,301"
10/27/2006,"138.61","138.75","137.63","137.91","78,184,602"
10/26/2006,"138.66","139.00","137.98","138.78","66,842,703"
10/25/2006,"137.74","138.41","137.51","138.35","78,105,398"
10/24/2006,"137.28","137.93","137.22","137.88","53,234,102"
10/23/2006,"136.56","137.80","136.39","137.47","66,112,898"
10/20/2006,"136.81","136.95","136.33","136.84","48,094,500"
10/19/2006,"136.39","136.88","136.23","136.81","63,998,398"
10/18/2006,"137.04","137.37","136.10","136.59","86,760,102"
10/17/2006,"136.47","136.70","135.67","136.41","90,387,102"
10/16/2006,"136.52","137.05","136.42","136.84","42,271,801"
10/13/2006,"136.16","136.71","136.04","136.63","53,943,898"
10/12/2006,"135.45","136.39","135.40","136.28","59,123,602"
10/11/2006,"134.84","135.43","134.30","135.11","104,076,305"
10/10/2006,"135.11","135.45","134.84","135.27","56,390,102"
10/09/2006,"134.85","135.30","134.64","135.09","41,176,801"
10/06/2006,"134.95","135.10","134.40","135.01","64,992,699"
10/05/2006,"134.92","135.41","134.75","135.18","60,498,801"
10/04/2006,"133.23","135.00","133.08","134.92","80,880,703"
10/03/2006,"132.89","133.87","132.65","133.36","73,105,102"
10/02/2006,"133.54","133.83","132.34","133.08","52,444,500"
09/29/2006,"133.80","133.94","133.48","133.58","47,991,699"
09/28/2006,"133.74","133.99","133.28","133.69","58,591,500"
09/27/2006,"133.49","133.97","133.27","133.74","82,432,203"
09/26/2006,"132.50","133.60","132.40","133.58","73,951,102"
09/25/2006,"131.73","132.85","131.05","132.48","92,287,906"
09/22/2006,"131.67","131.68","131.00","131.47","65,966,797"
09/21/2006,"132.61","132.75","131.42","131.87","88,931,703"
09/20/2006,"132.25","132.77","132.06","132.51","75,203,602"
09/19/2006,"132.12","132.13","131.07","131.81","92,080,305"
09/18/2006,"131.79","132.39","131.65","132.14","64,153,602"
09/15/2006,"132.31","132.39","131.68","131.96","76,701,906"
09/14/2006,"131.96","132.24","131.75","132.23","57,794,199"
09/13/2006,"131.64","132.45","131.52","132.22","62,898,301"
09/12/2006,"130.56","131.84","130.37","131.69","69,871,602"
09/11/2006,"129.86","130.69","129.48","130.41","68,495,000"
09/08/2006,"130.08","130.46","129.83","130.28","45,096,000"
09/07/2006,"130.06","130.57","129.35","129.91","86,261,203"
09/06/2006,"131.11","131.16","130.33","130.51","53,737,898"
09/05/2006,"131.51","131.85","131.20","131.67","52,348,398"
09/01/2006,"131.14","131.58","130.84","131.42","48,794,398"
08/31/2006,"130.85","130.99","130.58","130.64","37,521,898"
08/30/2006,"130.87","131.04","130.55","130.66","50,080,398"
08/29/2006,"130.49","130.83","129.81","130.58","61,795,102"
08/28/2006,"129.65","130.82","129.64","130.43","52,671,301"
08/25/2006,"129.64","130.25","129.55","129.81","41,756,500"
08/24/2006,"129.99","130.10","129.40","129.65","57,979,801"
08/23/2006,"130.18","130.44","129.19","129.76","66,588,703"
08/22/2006,"129.94","130.52","129.68","130.12","60,839,898"
08/21/2006,"130.18","130.28","129.80","130.13","42,133,602"
08/18/2006,"130.19","130.69","129.59","130.69","58,288,398"
08/17/2006,"129.58","130.37","129.49","130.03","70,936,602"
08/16/2006,"129.32","129.89","129.04","129.79","71,731,203"
08/15/2006,"128.21","128.87","127.90","128.63","68,143,000"
08/14/2006,"127.63","128.16","126.92","127.11","57,839,000"
08/11/2006,"127.17","127.20","126.39","127.01","47,480,199"
08/10/2006,"126.53","127.50","126.28","127.37","69,321,305"
08/09/2006,"128.20","128.60","126.61","126.98","78,905,703"
08/08/2006,"128.09","128.46","126.95","127.41","90,797,102"
08/07/2006,"127.90","128.08","127.40","127.95","45,377,301"
08/04/2006,"129.06","129.43","127.48","128.20","96,294,203"
08/03/2006,"127.33","128.55","127.15","128.42","63,691,301"
08/02/2006,"127.58","128.46","127.55","128.08","64,770,801"
08/01/2006,"127.34","127.38","126.60","127.22","65,220,500"
07/31/2006,"127.66","127.96","126.55","127.85","49,586,398"
07/28/2006,"126.99","128.14","126.86","127.98","82,118,508"
07/27/2006,"127.33","127.69","126.20","126.71","87,250,602"
07/26/2006,"126.59","127.45","126.18","126.83","84,525,703"
07/25/2006,"125.98","127.30","125.72","126.66","95,477,000"
07/24/2006,"124.44","126.32","124.44","126.21","92,882,203"
07/21/2006,"125.15","125.19","123.82","123.95","101,564,703"
07/20/2006,"126.12","126.30","124.66","124.83","112,298,906"
07/19/2006,"124.18","126.26","123.72","125.69","133,725,000"
