Date,Open,High,Low,Close,Volume
11/28/2007,"144.19","147.47","144.14","147.13","257,027,812"
11/27/2007,"141.74","143.23","140.95","142.57","293,721,875"
11/26/2007,"144.43","144.88","140.66","140.95","212,492,297"
11/23/2007,"143.07","144.34","142.70","144.13","77,684,625"
11/21/2007,"143.08","143.91","141.67","141.68","259,160,297"
11/20/2007,"144.02","145.53","142.11","144.64","414,250,219"
11/19/2007,"145.28","145.36","143.19","143.76","267,092,406"
11/16/2007,"146.31","146.47","144.57","145.79","308,620,094"
11/15/2007,"146.57","147.49","144.52","145.54","262,804,906"
11/14/2007,"149.22","149.40","146.78","147.67","229,975,703"
11/13/2007,"145.37","148.31","145.22","148.08","191,022,703"
11/12/2007,"145.21","146.61","143.70","143.70","242,942,203"
11/09/2007,"145.69","147.54","144.89","145.14","277,715,000"
11/08/2007,"147.99","149.30","145.07","147.16","374,275,812"
11/07/2007,"150.44","152.11","147.55","147.91","305,122,312"
11/06/2007,"150.86","152.11","149.90","152.07","177,507,391"
11/05/2007,"149.64","151.16","148.00","150.05","226,743,297"
11/02/2007,"151.53","152.00","149.21","151.20","331,155,812"
11/01/2007,"153.29","153.41","150.59","151.03","332,864,094"
10/31/2007,"153.98","155.27","152.84","154.65","220,919,203"
10/30/2007,"153.45","153.75","152.87","153.06","132,944,297"
10/29/2007,"153.93","154.44","153.55","154.13","106,794,305"
10/26/2007,"153.06","153.62","151.90","153.62","176,283,391"
10/25/2007,"151.65","152.29","149.88","151.84","237,107,109"
10/24/2007,"151.21","151.74","148.00","151.48","326,222,031"
10/23/2007,"151.46","151.95","150.25","151.76","179,888,406"
10/22/2007,"148.86","150.76","148.66","150.54","261,945,406"
10/19/2007,"153.09","156.48","149.66","149.67","296,519,281"
10/18/2007,"153.45","154.19","153.08","153.69","148,092,984"
10/17/2007,"154.98","155.09","152.47","154.25","216,590,891"
10/16/2007,"154.41","156.48","153.47","153.78","166,265,109"
10/15/2007,"156.27","156.36","153.94","155.01","161,004,000"
10/12/2007,"155.46","156.35","155.27","156.33","124,529,508"
10/11/2007,"156.93","157.52","154.54","155.47","233,472,609"
10/10/2007,"156.04","156.44","155.41","156.22","101,476,703"
10/09/2007,"155.60","156.50","155.03","156.48","93,835,852"
10/08/2007,"155.39","155.49","154.77","155.02","71,158,047"
10/05/2007,"155.03","156.10","154.63","155.85","134,579,812"
10/04/2007,"154.11","154.26","153.59","154.02","76,687,648"
10/03/2007,"153.81","154.41","153.01","153.78","117,758,398"
10/02/2007,"154.61","154.65","153.81","154.09","112,647,102"
10/01/2007,"152.60","154.75","152.50","154.30","146,325,297"
09/28/2007,"152.85","153.19","151.98","152.58","133,344,594"
09/27/2007,"152.91","153.10","152.19","153.09","102,607,000"
09/26/2007,"152.25","152.77","151.39","152.19","131,571,500"
09/25/2007,"150.81","151.66","150.47","151.39","142,210,500"
09/24/2007,"152.42","152.82","151.36","151.69","137,635,812"
09/21/2007,"152.71","153.12","151.74","151.97","141,458,203"
09/20/2007,"153.34","153.43","152.11","152.28","174,834,500"
09/19/2007,"153.41","154.39","148.10","153.36","193,698,797"
09/18/2007,"148.83","152.50","148.13","152.46","262,750,312"
09/17/2007,"148.31","148.89","147.63","148.10","109,832,203"
09/14/2007,"147.96","149.09","147.74","148.90","121,785,695"
09/13/2007,"148.55","149.45","148.20","148.91","153,823,594"
09/12/2007,"147.29","148.44","146.98","147.87","149,559,594"
09/11/2007,"146.24","147.70","146.13","147.49","161,928,703"
09/10/2007,"146.52","146.72","144.33","145.79","192,318,594"
09/07/2007,"146.48","146.89","145.26","146.07","235,423,812"
09/06/2007,"147.95","148.61","147.12","148.13","127,795,297"
09/05/2007,"148.20","148.36","147.00","147.79","166,237,500"
09/04/2007,"147.45","149.98","147.40","149.08","119,558,000"
08/31/2007,"147.65","148.50","146.83","147.59","185,474,594"
08/30/2007,"145.45","147.19","145.31","146.15","191,302,703"
08/29/2007,"144.37","146.74","143.96","146.54","207,478,891"
08/28/2007,"146.16","146.25","143.46","143.72","219,565,797"
08/27/2007,"147.85","148.33","146.73","146.95","112,905,203"
08/24/2007,"146.48","148.33","146.28","148.33","128,842,094"
08/23/2007,"147.34","147.65","145.61","146.52","203,799,297"
08/22/2007,"146.01","146.80","145.33","146.65","169,778,297"
08/21/2007,"144.60","145.97","144.14","144.93","156,932,297"
08/20/2007,"145.17","145.47","143.29","144.64","186,925,109"
08/17/2007,"145.50","148.35","141.39","144.71","388,157,188"
08/16/2007,"139.79","142.94","137.00","142.10","546,123,875"
08/15/2007,"142.72","144.46","140.62","141.04","323,538,406"
08/14/2007,"145.70","146.06","142.72","143.01","263,934,094"
08/13/2007,"146.50","146.89","145.02","145.23","177,475,297"
08/10/2007,"144.39","146.50","143.12","144.71","410,720,906"
08/09/2007,"147.43","149.95","145.29","145.39","357,452,281"
08/08/2007,"148.41","150.59","147.34","149.83","274,653,000"
08/07/2007,"145.94","149.00","145.23","147.77","280,185,000"
08/06/2007,"144.21","146.83","142.53","146.21","324,593,094"
08/03/2007,"147.28","147.58","143.20","143.80","359,157,594"
08/02/2007,"146.76","147.76","145.26","147.60","294,626,594"
08/01/2007,"145.18","147.01","143.95","146.43","467,573,094"
07/31/2007,"148.33","149.46","145.04","145.72","316,607,406"
07/30/2007,"145.93","147.81","145.29","147.38","272,689,406"
07/27/2007,"148.21","148.87","145.05","145.11","422,616,906"
07/26/2007,"150.19","150.80","146.39","148.02","465,135,625"
07/25/2007,"152.02","152.39","150.25","151.61","264,666,594"
07/24/2007,"153.12","154.28","150.76","151.30","256,699,703"
07/23/2007,"154.18","154.72","153.30","153.97","119,941,906"
07/20/2007,"154.89","155.25","152.29","153.50","245,469,703"
07/19/2007,"155.20","155.53","154.75","155.07","145,074,500"
07/18/2007,"154.23","154.80","153.30","154.47","231,246,297"
07/17/2007,"154.93","156.00","154.68","154.75","123,906,898"
07/16/2007,"154.99","155.53","154.58","154.83","98,355,203"
07/13/2007,"154.57","155.46","154.39","154.85","111,766,203"
07/12/2007,"152.37","154.75","152.34","154.39","133,546,594"
07/11/2007,"150.75","152.05","150.52","151.99","175,289,297"
07/10/2007,"152.29","152.61","150.77","150.92","178,909,500"
07/09/2007,"153.16","153.36","152.62","153.00","71,632,359"
07/06/2007,"152.38","153.17","151.93","152.98","81,106,062"
07/05/2007,"152.40","152.56","151.63","152.18","89,049,133"
07/03/2007,"152.18","152.50","151.99","152.34","54,047,488"
07/02/2007,"150.87","151.92","150.77","151.79","103,326,797"
06/29/2007,"150.90","151.65","149.15","150.43","193,583,391"
06/28/2007,"150.38","151.41","149.67","150.38","157,109,594"
06/27/2007,"148.13","150.57","148.06","150.40","209,024,984"
06/26/2007,"150.21","150.46","148.28","148.29","197,477,500"
06/25/2007,"150.24","151.25","149.02","149.83","232,014,500"
06/22/2007,"151.52","151.77","149.85","150.55","205,066,000"
06/21/2007,"151.08","152.11","150.25","151.98","205,131,906"
06/20/2007,"153.58","153.58","150.96","151.14","177,168,609"
